Parties,,,,,,,,,
,National,Labour,Social Credit,Values,Green,New Zealand First,Independent,Other,Mana Motuhake
,National,Labour,SoCred,Values,Green,NZ First,Ind,Other,MM
,blue,red,yellow,green,,,black,purple,#c32148
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
New Zealand 1978,,,,,,,,,
,1,1,1,1,,,1,,
,51,40,1,0,,,0,,
,680991,691076,274756,41220,,,22130,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
New Zealand 1981,,,,,,,,,
,1,1,1,1,,,1,1,1
,47,43,2,0,,,0,0,0
,698508,702630,372056,3460,,,17897,5096,8332
