Parties,,,,,,,,
,Parti Quebecois,Liberal,NDP,Action Democratique,,,Independent,Other
,PQ,Lib,NDP,ADQ,,,Ind,Other
,#87cefa,red,orange,#b0c4de,,,Black,purple
,,,,,,,,
,,,,,,,,
Quebec Provincial Election 1998,,,,,,,,
,1,1,,1,,,1,1
,76,48,,1,,,0,0
,1744240,1771858,,480636,,,12441,59297
