Parties,,,,,,,
,Lesotho Congress for Democracy,Basutoland Congress Party,Basotho National Party,Marematlou Freedom Party,Independent,Other,All Basotho Convention
,LCD,BCP,BNP,MFP,Ind,Other,ABC
,#78a22c,green,blue,maroon,black,purple,yellow
,,,,,,,
Lesotho 1993,,,,,,,
,0,1,1,0,1,1,0
,,65,0,0,0,0,
,,398355,120686,7650,2753,10884,
,,,,,,,
Lesotho 1998,,,,,,,
,1,1,1,1,0,1,0
,78,0,1,0,,0,
,355049,61793,143073,7460,,25005,
